15.0,30.0,-0.0,10.0
15.0,30.0,-0.0,100.0
15.0,0.0,-0.0,108.0
15.0,0.0,-0.0,11.0
15.0,0.0,-0.0,12.0
15.0,0.0,-0.0,13.0
15.0,0.0,-0.0,14.0
15.0,0.0,-0.0,15.0
15.0,0.0,-0.0,16.0
15.0,0.0,-0.0,17.0
15.0,0.0,-0.0,18.0
15.0,0.0,-0.0,20.0
15.0,0.0,-0.0,22.0
15.0,0.0,-0.0,24.0
15.0,0.0,-0.0,25.0
15.0,0.0,-0.0,26.0
15.0,0.0,-0.0,27.0
15.0,0.0,-0.0,28.0
15.0,0.0,-0.0,30.0
15.0,0.0,-0.0,32.0
15.0,0.0,-0.0,34.0
15.0,0.0,-0.0,36.0
15.0,0.0,-0.0,38.0
15.0,0.0,-0.0,40.0
15.0,0.0,-0.0,42.0
15.0,0.0,-0.0,44.0
15.0,0.0,-0.0,46.0
15.0,0.0,-0.0,48.0
15.0,0.0,-0.0,50.0
15.0,0.0,-0.0,52.0
15.0,0.0,-0.0,54.0
15.0,0.0,-0.0,56.0
15.0,0.0,-0.0,58.0
15.0,0.0,-0.0,60.0
15.0,0.0,-0.0,62.0
15.0,0.0,-0.0,64.0
15.0,0.0,-0.0,66.0
15.0,0.0,-0.0,68.0
15.0,0.0,-0.0,70.0
15.0,0.0,-0.0,72.0
15.0,0.0,-0.0,74.0
15.0,0.0,-0.0,76.0
15.0,0.0,-0.0,78.0
15.0,0.0,-0.0,80.0
15.0,0.0,-0.0,90.0
15.0,0.0,-0.3,10.0
15.0,0.0,-0.3,100.0
15.0,0.0,-0.3,108.0
15.0,0.0,-0.3,11.0
15.0,0.0,-0.3,12.0
15.0,0.0,-0.3,13.0
15.0,0.0,-0.3,14.0
15.0,0.0,-0.3,15.0
15.0,0.0,-0.3,16.0
15.0,0.0,-0.3,17.0
15.0,0.0,-0.3,18.0
15.0,0.0,-0.3,20.0
15.0,0.0,-0.3,22.0
15.0,0.0,-0.3,24.0
15.0,0.0,-0.3,25.0
15.0,0.0,-0.3,26.0
15.0,0.0,-0.3,27.0
15.0,0.0,-0.3,28.0
15.0,0.0,-0.3,30.0
15.0,0.0,-0.3,32.0
15.0,0.0,-0.3,34.0
15.0,0.0,-0.3,36.0
15.0,0.0,-0.3,38.0
15.0,0.0,-0.3,40.0
15.0,0.0,-0.3,42.0
15.0,0.0,-0.3,44.0
15.0,0.0,-0.3,46.0
15.0,0.0,-0.3,48.0
15.0,0.0,-0.3,50.0
15.0,0.0,-0.3,52.0
